,ticker,short_name,long_name,currency,summary,category,family,exchange,market,total_assets
6,DIG,ProShares Ultra Oil & Gas,ProShares Ultra Oil & Gas,USD,"The investment seeks daily investment results that correspond to two times (2x) the daily performance of the Dow Jones U.S. Oil & GasSM Index.
 The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund&#39;s investment objective. The index measures the performance of certain companies in the oil and gas sector of the U.S. equity market. Component companies include, among others, exploration and production, integrated oil and gas, oil equipment and services, pipelines, renewable energy equipment companies and alternative fuel producers. The fund is non-diversified.",Trading--Leveraged Equity,ProShares,PCX,us_market,168822816.0
7,DRIP,Direxion Daily S&P Oil & Gas Ex,Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares,USD,"The investment seeks daily investment results, of 200% of the inverse (or opposite) of the daily performance of the S&P Oil & Gas Exploration & Production Select Industry Index.
 The fund invests in swap agreements, futures contracts, short positions or other financial instruments that, in combination, provide inverse (opposite) or short leveraged exposure to the index equal to at least 80% of the fund&#39;s net assets (plus borrowing for investment purposes). The index is designed to measure the performance of a sub-industry or group of sub-industries determined based on the Global Industry Classification Standards (""GICS""). The fund is non-diversified.",Trading--Inverse Equity,Direxion Funds,PCX,us_market,57481108.0
8,DUG,ProShares UltraShort Oil & Gas,ProShares UltraShort Oil & Gas,USD,"The investment seeks daily investment results, before fees and expenses, that correspond to two times the inverse (-2x) of the daily performance of the Dow Jones U.S. Oil & GasSM Index.
 The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund&#39;s investment objective. The index seeks to measure the performance of certain companies in the oil and gas sector of the U.S. equity market. The fund is non-diversified.",Trading--Inverse Equity,ProShares,PCX,us_market,15996056.0
68,DUSL,Direxion Daily Industrials Bull,Direxion Daily Industrials Bull 3X Shares Direxion Daily Industrials Bull 3,USD,"The investment seeks daily investment results, before fees and expenses, of 300% of the daily performance of the Industrials Select Sector Index.
 The fund, under normal circumstances, invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or ETFs that track the index. The index includes domestic companies from the industrials sector which includes the following industries: aerospace and defense; industrial conglomerates; marine and etc. The fund is non-diversified.",Trading--Leveraged Equity,Direxion Funds,PCX,us_market,41260476.0
49,EDOW,First Trust Dow 30 Equal Weight,First Trust Dow 30 Equal Weight ETF,USD,"The investment seeks investment results that correspond generally to the price and yield of an equity index called the Dow Jones Industrial Average Equal Weight Index.
 The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks that comprise the index. The index is the equal weight version of the Dow Jones Industrial Average (the ""DJIA""). The DJIA is composed of 30 securities issued by blue-chip U.S. companies covering all industries, with the exception of transportation and utilities.",Large Value,First Trust,PCX,us_market,97624120.0
9,EINC,VanEck Vectors Energy Income ET,VanEck Vectors Energy Income ETF,USD,"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the MVISÂ® North America Energy Infrastructure Index.
 The fund will normally invest at least 80% of its total assets in securities that comprise the fund&#39;s benchmark index. The index is a rules-based index designed to give investors a means to track the overall performance of North American companies involved in the midstream energy segment, which includes master limited partnerships (""MLPs"") and corporations involved in oil and gas storage and transportation. The fund is non-diversified.",Energy Limited Partnership,VanEck,PCX,us_market,26371804.0
46,EMLP,First Trust North American Ener,First Trust North American Energy Infrastructure Fund,USD,"The investment seeks total return.
 The fund invests at least 80% of its net assets in equity securities of companies deemed by the sub-advisor to be engaged in the energy infrastructure sector. These companies principally include U.S. and Canadian natural gas and electric utilities, corporations operating energy infrastructure assets such as pipelines or renewable energy production, utilities, publicly-traded MLPs, MLP affiliates and energy infrastructure companies. It is non-diversified.",Energy Limited Partnership,First Trust,PCX,us_market,1858275072.0
37,ERTH,Invesco MSCI Sustainable Future,Invesco MSCI Sustainable Future ETF,USD,"The investment seeks to track the investment results (before fees and expenses) of the MSCI Global Environment Select Index.
 The fund generally invests at least 90% of its total assets in the securities of companies that comprise the underlying index. The underlying index is a custom index comprised of companies that the index methodology has determined focus on offering products or services that contribute to a more environmentally sustainable economy by making a more efficient use of limited global natural resources.",Miscellaneous Sector,Invesco,PCX,us_market,486795232.0
10,ERX,Direxion Energy Bull 2X Shares,Direxion Daily Energy Bull 2X Shares,USD,"The investment seeks daily investment results, before fees and expenses, of 200% of the daily performance of the Energy Select Sector Index.
 The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index is provided by S&P Dow Jones Indices and includes domestic companies from the energy sector which includes the following industries: oil, gas and consumable fuels; and energy equipment and services. The fund is non-diversified.",Trading--Leveraged Equity,Direxion Funds,PCX,us_market,626202240.0
11,ERY,Direxion Daily Energy Bear 2X S,Direxion Daily Energy Bear 2X Shares,USD,"The investment seeks daily investment results, before fees and expenses, of 200% of the inverse of the daily performance of the Energy Select Sector Index.
 The fund invests in swap agreements, futures contracts, short positions or other financial instruments that, in combination, provide inverse or short leveraged exposure to the index equal to at least 80% of the fund&#39;s net assets (plus borrowing for investment purposes). The index is provided by S&P Dow Jones Indices and includes domestic companies from the energy sector which includes the following industries: oil, gas and consumable fuels; and energy equipment and services. It is non-diversified.",Trading--Inverse Equity,Direxion Funds,PCX,us_market,33185256.0
49,ETHO,Etho Climate Leadership U.S. ET,Etho Climate Leadership U.S. ETF,USD,"The investment seeks to provide investment results that, before fees and expenses, correspond generally to the total return performance of the Etho Climate Leadership Index - US (the ""index"").
 The index tracks the performance of the equity securities of a diversified set of U.S. companies that are leaders in their industry with respect to their carbon impact. ""Carbon impact"" calculated based on the total greenhouse gas (""GHG"") emissions from a company&#39;s operations, fuel use, supply chain, and business activities, divided by the company&#39;s market capitalization. The fund will invest at least 80% of its total assets in the component securities of the index.",Mid-Cap Growth,ETFMG,PCX,us_market,148507104.0
69,EXI,iShares Global Industrials ETF,iShares Global Industrials ETF,USD,"The investment seeks to track the investment results of the S&P Global 1200 Industrials IndexTM.
 The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. It may invest the remainder of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the underlying index. The index measures the performance of companies that the index provider deems to be part of the industrials sector of the economy and that the index provider believes are important to global markets.",Industrials,iShares,PCX,us_market,680997376.0
50,FCG,First Trust Natural Gas ETF,First Trust Natural Gas ETF,USD,"The investment seeks investment results that correspond generally to the price and yield (before the fund&#39;s fees and expenses) of an equity index called the ISE-Revere Natural Gasâ¢ Index.
 The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks, depositary receipts and MLP units that comprise the index. The index is designed to track the performance of mid and large capitalization companies that derive a substantial portion of their revenues from midstream activities and/or the exploration and production of natural gas.",Equity Energy,First Trust,PCX,us_market,181320928.0
70,FIDU,Fidelity MSCI Industrials Index,Fidelity MSCI Industrials Index ETF,USD,"The investment seeks to provide investment returns that correspond, before fees and expenses, generally to the performance of the MSCI USA IMI Industrials 25/25 Index.
 The fund invests at least 80% of assets in securities included in the fund&#39;s underlying index. The fund&#39;s underlying index is the MSCI USA IMI Industrials 25/25 Index, which represents the performance of the industrial sector in the U.S. equity market. It may or may not hold all of the securities in the MSCI USA IMI Industrials 25/25 Index.",Industrials,Fidelity Investments,PCX,us_market,630190144.0
12,FRAK,VanEck Vectors Unconventional O,VanEck Vectors Unconventional Oil & Gas ETF,USD,"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the MVISÂ® Global Unconventional Oil & Gas Index.
 The fund normally invests at least 80% of its total assets in securities that comprise the fund&#39;s benchmark index. The index contains companies that generate at least 50% of their revenues from unconventional oil and gas or that have properties with the potential to generate at least 50% of their revenues from unconventional oil and gas. The fund is non-diversified.",Equity Energy,VanEck,PCX,us_market,15697743.0
38,FTRI,First Trust Indxx Global Natura,First Trust Indxx Global Natural Resources Income ETF,USD,"The investment seeks investment results that correspond generally to the price and yield (before the fund&#39;s fees and expenses) of an equity index called the Indxx Global Natural Resources Income Index.
 The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index is a free float adjusted market capitalization weighted index designed to measure the market performance of the 50 highest dividend yielding companies involved in the upstream segment of the natural resources sector. The fund is non-diversified.",Natural Resources,First Trust,NGM,us_market,19863080.0
13,FTXN,First Trust Nasdaq Oil & Gas ET,First Trust Nasdaq Oil &amp; Gas ETF,USD,"The investment seeks investment results that correspond generally to the price and yield (before the fund&#39;s fees and expenses) of the Nasdaq US Smart Oil & Gas Index.
 The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depository receipts that comprise the index. The index is designed to provide exposure to U.S. companies comprising the oil and gas sector that have been selected based upon their liquidity and weighted based upon their cumulative score on three investing factors: volatility, value and growth. It is non-diversified.",,First Trust,NGM,us_market,57042368.0
14,FUE,ELEMENTS Linked to the ICE BofA,ELEMENTS Linked to the MLCX Biofuels Index (Exchange Series) - Total Return,USD,"The investment seeks to replicate, net of expenses, the MLCX Biofuels Total Return Index.
 The index is designed to reflect the performance of a fully collateralized investment in the seven exchange-traded futures contracts on seven physical commodities: barley, canola, corn, rapeseed, soybeans, soybean oil and sugar.",,ELEMENTS,PCX,us_market,658400.0
51,FUTY,Fidelity MSCI Utilities Index E,Fidelity MSCI Utilities Index ETF,USD,"The investment seeks to provide investment returns that correspond, before fees and expenses, generally to the performance of the MSCI USA IMI Utilities 25/50 Index.
 The fund invests at least 80% of assets in securities included in the fund&#39;s underlying index. The fund&#39;s underlying index is the MSCI USA IMI Utilities 25/50 Index, which represents the performance of the utilities sector in the U.S. equity market. It may or may not hold all of the securities in the MSCI USA IMI Utilities 25/50 Index. The fund is non-diversified.",Utilities,Fidelity Investments,PCX,us_market,929982464.0
71,FXR,First Trust Industrials AlphaDE,First Trust Industrials/Producer Durables AlphaDEX Fund,USD,"The investment seeks investment results that correspond generally to the price and yield (before the fund&#39;s fees and expenses) of an equity index called the StrataQuantÂ® Industrials Index.
 The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks that comprise the index. The index is a modified equal-dollar weighted index designed by IDI to objectively identify and select stocks from the Russell 1000Â® Index in the industrials and producer durables sectors that may generate positive alpha relative to traditional passive-style indices through the use of the AlphaDEXÂ® selection methodology.",Industrials,First Trust,PCX,us_market,1698651136.0
52,FXU,First Trust Utilities AlphaDEX ,First Trust Utilities AlphaDEX Fund,USD,"The investment seeks investment results that correspond generally to the price and yield (before the fund&#39;s fees and expenses) of an equity index called the StrataQuantÂ® Utilities Index.
 The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks that comprise the index. The index is a modified equal-dollar weighted index designed by IDI to objectively identify and select stocks from the Russell 1000Â® Index in the utilities sector that may generate positive alpha relative to traditional passive-style indices through the use of the AlphaDEXÂ® selection methodology.",Utilities,First Trust,PCX,us_market,177650368.0
53,GAZ,Barclays Bank PLC iPath Series ,iPath Series B Bloomberg Natural Gas Subindex Total ReturnSM ETN,USD,The investment seeks to linked to the performance of the Bloomberg Natural Gas Subindex Total ReturnSM (the âindexâ). The index is a sub-index of the Bloomberg Commodity Index Total ReturnSM (the âCommodity Indexâ or the âBCOM Indexâ). The index is composed of one or more futures contracts on commodity of natural gas (the âindex componentsâ) and is intended to reflect the returns that are potentially available through (1) an unleveraged investment in those contracts plus (2) the rate of interest that could be earned on cash collateral invested in specified Treasury Bills.,,Milleis Investissements Funds,PCX,us_market,3761377.0
39,GNR,SPDR S&P Global Natural Resourc,SPDR S&P Global Natural Resources ETF,USD,"The investment seeks investment results that, before fees and expenses, correspond generally to the total return performance of the S&P Global Natural Resources Index.
 The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in depositary receipts based on securities comprising the index. The index is comprised of 90 of the largest U.S. and foreign publicly traded companies, based on market capitalization, in natural resources and commodities businesses that meet certain investability requirements.",Natural Resources,SPDR State Street Global Advisors,PCX,us_market,1940419712.0
40,GUNR,FlexShares Global Upstream Natu,FlexShares Morningstar Global Upstream Natural Resources Index Fund,USD,"The investment seeks investment results that correspond generally to the price and yield performance, before fees and expenses, of the MorningstarÂ® Global Upstream Natural Resources IndexSM.
 The fund will invest at least 80% of its total assets (exclusive of collateral held from securities lending) in the securities of the index and in ADRs and GDRs based on the securities in the index. The index reflects the performance of a selection of equity securities that are traded in or are issued by companies domiciled in global developed or emerging markets, as determined by the index provider pursuant to its index methodology. It is non-diversified.",Natural Resources,Flexshares Trust,PCX,us_market,4264486656.0
15,GUSH,Direxion Daily S&P Oil & Gas Ex,Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares,USD,"The investment seeks daily investment results, of 200% of the daily performance of the S&P Oil & Gas Exploration & Production Select Industry Index.
 The fund, under normal circumstances, invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index is designed to measure the performance of a sub-industry or group of sub-industries determined based on the Global Industry Classification Standards. The fund is non-diversified.",Trading--Leveraged Equity,Direxion Funds,PCX,us_market,752131328.0
41,HAP,VanEck Vectors Natural Resource,VanEck Vectors Natural Resources ETF,USD,"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the VanEckÂ® Natural Resources Index.
 The fund normally invests at least 80% of its total assets in securities that comprise the fund&#39;s benchmark index. The index is comprised of publicly traded companies engaged (derive greater than 50% of revenues from applicable sources) in the production and distribution of commodities and commodity-related products and services in the following sectors: 1) Agriculture; 2) Alternatives (Water & Alternative Energy); 3) Base and Industrial Metals; 4) Energy; 5) Forest Products; and 6) Precious Metals.",Natural Resources,VanEck,PCX,us_market,66846076.0
53,IDU,iShares U.S. Utilities ETF,iShares U.S. Utilities ETF,USD,"The investment seeks to track the investment results of the Dow Jones U.S. Utilities Index.
 The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. The underlying index measures the performance of the utilities sector of the U.S. equity market and may include large-, mid- or small-capitalization companies. The fund is non-diversified.",Utilities,iShares,PCX,us_market,728115392.0
16,IEO,iShares U.S. Oil & Gas Explorat,iShares U.S. Oil & Gas Exploration & Production ETF,USD,"The investment seeks to track the investment results of the Dow Jones U.S. Select Oil Exploration & Production Index composed of U.S. equities in the oil and gas exploration and production sector.
 The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. The underlying index measures the performance of the oil exploration and production sector of the U.S. equity market. The fund is non-diversified.",Equity Energy,iShares,BTS,us_market,223385424.0
17,IEZ,iShares U.S. Oil Equipment & Se,iShares U.S. Oil Equipment & Services ETF,USD,"The investment seeks to track the investment results of the Dow Jones U.S. Select Oil Equipment & Services Index.
 The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. The underlying fund measures the performance of the oil equipment and services sector of the U.S. equity market and includes companies that are suppliers of equipment or services to oil fields and offshore platforms, such as drilling, exploration, seismic information services and platform construction. The fund is non-diversified.",Equity Energy,iShares,PCX,us_market,183663136.0
42,IGE,iShares North American Natural ,iShares North American Natural Resources ETF,USD,"The investment seeks to track the investment results of the S&P North American Natural Resources Index composed of North American equities in the natural resources sector.
 The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. The underlying index measures the performance of U.S.-traded stocks of natural resource-related companies in the U.S. and Canada.",Natural Resources,iShares,BTS,us_market,367870560.0
56,IMLP,iPath S&P MLP ETN,iPath S&P MLP ETN,USD,"The investment seeks to replicate, net of expenses, the S&P MLP Index.
 The index is designed to provide exposure to leading partnerships that trade on major U.S. exchanges and are classified in the GICS Energy Sector and GICS Gas Utilities Industry according to the Global Industry Classification StandardÂ® (âGICSâ). It includes both master limited partnerships (âMLPsâ) and publicly traded limited liability companies which have a similar legal structure to MLPs and share the same tax benefits as MLPs (collectively, the âindex constituentsâ). The index is calculated, maintained and published by S&P Dow Jones Indices LLC.",Energy Limited Partnership,Milleis Investissements Funds,BTS,us_market,12695077.0
18,IYE,iShares U.S. Energy ETF,iShares U.S. Energy ETF,USD,"The investment seeks to track the investment results of the Dow Jones U.S. Oil & Gas Index composed of U.S. equities in the energy sector.
 The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. The underlying index measures the performance of the oil and gas sector of the U.S. equity market. The fund is non-diversified.",Equity Energy,iShares,PCX,us_market,712444608.0
72,IYJ,iShares U.S. Industrials ETF,iShares U.S. Industrials ETF,USD,"The investment seeks to track the investment results of the Dow Jones U.S. Industrials Index composed of U.S. equities in the industrials sector.
 The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. The underlying index measures the performance of the industrials sector of the U.S. equity market.",Industrials,iShares,BTS,us_market,1387753728.0
73,JHMI,John Hancock Multifactor Indust,John Hancock Multifactor Industrials ETF,USD,"The investment seeks to provide investment results that closely correspond, before fees and expenses, to the performance of the John Hancock Dimensional Industrials Index (the index).
 The fund normally invests at least 80% of its net assets (plus any borrowings for investment purposes) in securities that compose the fund&#39;s index. The index is designed to comprise securities in the industrials sector within the U.S. Universe whose market capitalizations are larger than that of the 1001st largest U.S. company at the time of reconstitution. The fund is non-diversified.",,John Hancock,PCX,us_market,56670596.0
55,JHMU,John Hancock Multifactor Utilit,John Hancock Multifactor Utilities ETF,USD,"The investment seeks to provide investment results that closely correspond, before fees and expenses, to the performance of the John Hancock Dimensional Utilities Index (the index).
 The fund normally invests at least 80% of its net assets (plus any borrowings for investment purposes) in securities that compose the fund&#39;s index. The index is designed to comprise securities in the utilities sector within the U.S. Universe whose market capitalizations are larger than that of the 1001st largest U.S. company at the time of reconstitution. The fund is non-diversified.",,John Hancock,PCX,us_market,16633035.0
56,JXI,iShares Global Utilities ETF,iShares Global Utilities ETF,USD,"The investment seeks to track the investment results of the S&P Global 1200 Utilities IndexTM.
 The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. It may invest the remainder of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the underlying index. A significant portion of the underlying index is represented by securities of companies in the utilities industry or sector.",Utilities,iShares,PCX,us_market,140107904.0
58,KOLD,ProShares UltraShort Bloomberg ,ProShares UltraShort Bloomberg Natural Gas,USD,"The investment seeks daily investment results, before fees and expenses, that correspond to two times the inverse (-2x) of the daily performance of the Bloomberg Natural Gas SubindexSM.
 The fund seeks to meet their investment objectives by investing in Natural Gas futures contracts. It may also invest in swaps if the market for a specific futures contract experiences emergencies (e.g., natural disaster, terrorist attack, or an act of God) or disruptions (e.g., a trading halt or a flash crash) or in situations where the Sponsor deems it impractical or inadvisable to buy or sell futures contracts (such as during periods of market volatility or illiquidity).",Trading--Inverse Commodities,ProShares,PCX,us_market,106395136.0
57,MUNI,PIMCO Intermediate Municipal Bo,PIMCO Intermediate Municipal Bond Active Exchange-Traded Fund,USD,"The investment seeks attractive tax-exempt income, consistent with preservation of capital.
 The fund invests at least 80% of its assets in a diversified portfolio of debt securities whose interest is, in the opinion of bond counsel for the issuer at the time of issuance, exempt from federal income tax (""Municipal Bonds""). It may invest 25% or more of its total assets in Municipal Bonds that finance similar projects, such as those relating to education, health care, housing, transportation, and utilities, and 25% or more of its total assets in industrial development bonds.",Muni National Interm,PIMCO,PCX,us_market,616303680.0
43,NANR,SPDR S&P North American Natural,SPDR S&P North American Natural Resources ETF,USD,"The investment seeks to track the performance of the S&P BMI North American Natural Resources Index.
 The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index comprises publicly traded large- and mid-capitalization U.S. and Canadian companies in the natural resources and commodities businesses that meet certain investability requirements and are classified within the sub-industries of one of three natural resources categories: energy, metals & mining or agriculture. The fund is non-diversified.",Natural Resources,SPDR State Street Global Advisors,PCX,us_market,618331200.0
19,NRGD,MicroSectors U.S. Big Oil Index,MicroSectors U.S. Big Oil Index -3X Inverse Leveraged ETNs,USD,"The investment seeks to reflect a 3x inverse leveraged exposure to the performance of the Solactive MicroSectorsTM U.S. Big Oil Index on a daily basis.
 The notes are senior unsecured medium-term notes issued by Bank of Montreal with a return linked to a three times leveraged participation in the inverse performance of the index, compounded daily, less a Daily Investor Fee, any negative Daily Interest and, if applicable, the Redemption Fee Amount. The index is an equal-dollar weighted index designed to represent the 10 U.S. listed stocks with the largest market capitalization in the energy/oil sector.",,Microsectors,PCX,us_market,19298624.0
20,NRGU,MicroSectors U.S. Big Oil Index,MicroSectors U.S. Big Oil Index 3X Leveraged ETNs,USD,"The investment seeks to reflect a 3x leveraged long exposure to the performance of the Solactive MicroSectorsTM U.S. Big Oil Index on a daily basis.
 The notes are senior unsecured medium-term notes issued by Bank of Montreal with a return linked to a three times leveraged participation in the performance of the index, compounded daily, less a Daily Investor Fee, the Daily Financing Charge and, if applicable, the Redemption Fee Amount. The index is an equal-dollar weighted index designed to represent the 10 U.S. listed stocks with the largest market capitalization in the energy/oil sector.",,Microsectors,PCX,us_market,448664224.0
21,OIH,VanEck Vectors Oil Services ETF,VanEck Vectors Oil Services ETF,USD,"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the MVISÂ® US Listed Oil Services 25 Index.
 The fund normally invests at least 80% of its total assets in securities that comprise the fund&#39;s benchmark index. The index includes common stocks and depositary receipts of U.S. exchange-listed companies in the oil services segment. Such companies may include small- and medium-capitalization companies and foreign companies that are listed on a U.S. exchange. The fund is non-diversified.",Equity Energy,VanEck,PCX,us_market,1194708480.0
22,OILK,ProShares K-1 Free Crude Oil St,ProShares K-1 Free Crude Oil Strategy ETF,USD,"The investment seeks investment results, before fees and expenses, that track the performance of the Bloomberg Commodity Balanced WTI Crude Oil IndexSM.
 The fund invests in securities that ProShare Advisors believes, in combination, should track the performance of the index. The index seeks to track the performance of three separate contract schedules for West Texas Intermediate (âWTIâ) Crude Oil futures traded on NYMEX. These contract schedules are equally-weighted in the index (1/3 each) at each semi-annual reset in March and September.",,ProShares,BTS,us_market,84309464.0
23,PDBC,Invesco Optimum Yield Diversifi,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,USD,"The investment seeks long term capital appreciation.
 The fund is an actively managed exchange-traded fund (""ETF"") that seeks to achieve its investment objective by investing in a combination of financial instruments that are economically linked to the world&#39;s most heavily traded commodities. Commodities are assets that have tangible properties, such as oil, agricultural produce or raw metals.",,Invesco,NGM,us_market,4189590016.0
24,PSCE,Invesco S&P SmallCap Energy ETF,Invesco S&P SmallCap Energy ETF,USD,"The investment seeks to track the investment results (before fees and expenses) of the S&P SmallCap 600Â® Capped Energy Index (the ""underlying index"").
 The fund generally will invest at least 90% of its total assets in the securities of small-capitalization U.S. energy companies that comprise the underlying index. These companies are principally engaged in the business of producing, distributing or servicing energy related products, including oil and gas exploration and production, refining, oil services and pipelines. It is non-diversified.",Equity Energy,Invesco,NMS,us_market,133020144.0
